name,label,pathname
Michael Jackson - Beat It (Official 4K Video),0,songs/song_1_mfcc.csv
Michael Jackson - She's Trouble (Demo - Official Audio),0,songs/song_2_mfcc.csv
Michael Jackson - Sunset Driver (Demo - Official Audio),0,songs/song_3_mfcc.csv
Michael Jackson - Thriller (Official 4K Video),0,songs/song_4_mfcc.csv
Michael Jackson - Smooth Criminal | Dance Video,0,songs/song_5_mfcc.csv
Michael Jackson - Bad (Shortened Version),0,songs/song_6_mfcc.csv
Michael Jackson - Don’t Stop 'Til You Get Enough (Official Video),0,songs/song_7_mfcc.csv
Michael Jackson - Carousel (Official Audio),0,songs/song_8_mfcc.csv
Michael Jackson - Loving You (Official Audio),0,songs/song_9_mfcc.csv
Man in the Mirror (2012 Remaster),0,songs/song_10_mfcc.csv
Aaiye Meherbaan | Asha Bhosle  | Madhubala | Ashok Kumar  | Howrah Bridge-1958,1,songs/song_11_mfcc.csv
Mausam Mastana Rasta Anjana | Ranjeeta | Satte Pe Satta | Asha Bhosle | R.D. Burman,1,songs/song_12_mfcc.csv
Ye Hai Reshmi Zulfon Ka Andhera | Mere Sanam | Asha Bhonsle | Mumtaz,1,songs/song_13_mfcc.csv
Dum Maro Dum | Hare Rama Hare Krishna-1971 | Asha Bhosle | Zeenat Aman | Dev Anand,1,songs/song_14_mfcc.csv
Kya Ghazab Karte Ho Ji | Asha Bhosle | Love Story Songs | Kumar Gaurav | Vijeta Pandit | Aruna Irani,1,songs/song_15_mfcc.csv
Aaj Koi Pyar Se | Mumtaz | Asha Bhosle | Sawan Ki Ghata-1966 | Evergreen Songs,1,songs/song_16_mfcc.csv
Zindagi Ek Safar Hai Suhana | Andaz (1971) | Hema Malini | Rajesh Khanna | Asha Bhosle |,1,songs/song_17_mfcc.csv
Kaun Aaya Ki Nigahon Mein Chamak Jaag Uthi | Waqt | Sadhana | Asha Bhosle,1,songs/song_18_mfcc.csv
Chehare Pe Kushi Chhaa Jaati Hai | Waqt 1965 | Asha Bhosle | Sunil Dutt | Romantic Songs,1,songs/song_19_mfcc.csv
"Aao Na Gale Lagalo Na   Helan, Asha Bhosle, Mere Jeevan Saathi Song   YouTube",1,songs/song_20_mfcc.csv
O MERE DIL KE CHAIN - Rajesh Khanna-Kishore Kumar Romantic Song - Tanuja - Mere Jeevan Saathi Songs,2,songs/song_21_mfcc.csv
Kora Kagaz Tha Yeh Man Mera 4K Video Song | Lata Mangeshkar| Kishore Kumar | Aradhana| Rajesh Khanna,2,songs/song_22_mfcc.csv
Yeh Shaam Mastani 4K | Kishore Kumar | Rajesh Khanna | Kati Patang | Classic Bollywood 4K Video Song,2,songs/song_23_mfcc.csv
Hum Dono Do Premi Song 4K Quality | Lata Mangeshkar | Kishore Kumar | Rajesh Khanna | Zeenat Aman,2,songs/song_24_mfcc.csv
Mere Sapno Ki Rani 4K Song : मेरे सपनो की रानी | आराधना | राजेश खन्ना - शर्मिला टैगोर - किशोर कुमार,2,songs/song_25_mfcc.csv
"आपकी आँखों में कुछ 4K Song: Ghar | Kishore K, Lata Mangeshkar | R D Burman Hits | Vinod Mehra, Rekha",2,songs/song_26_mfcc.csv
Jab Dard Nahin Tha [4K] Video Song : राजेश खन्ना | अनुरोध 1977 | किशोर कुमार | Classic Sad Song,2,songs/song_27_mfcc.csv
Mere Mehboob Qayamat Hogi  (Original) - Mr. X In Bombay - Kishore Kumar's Greatest Hits - Old Songs,2,songs/song_28_mfcc.csv
"Mere Samne Wali Khidki Mein - Padosan - Saira Banu, Sunil Dutt & Kishore Kumar - Old Hindi Songs",2,songs/song_29_mfcc.csv
Kisi Ki Muskurahaton Pe Ho Nisar | Raj Kapoor | Anari | Mukesh | Evergreen Hindi Songs HD,2,songs/song_30_mfcc.csv
"Apsara Aali Full Song | Natarang | Sonalee Kulkarni, Ajay Atul | Marathi Songs",3,songs/song_31_mfcc.csv
Wajle Ki Bara | Natarang | Amruta Khanvilkar | Ajay-Atul | Lavani Songs,3,songs/song_32_mfcc.csv
Nad Khula - Master Eke Master - Lavani - Marathi Song - Sumeet Music,3,songs/song_33_mfcc.csv
"Kashyala Lavato (Lavani Song) - Poshter Girl | Superhit Marathi Song | Rasika | Amitraj, Bela Shende",3,songs/song_34_mfcc.csv
"Madanmanjiri | Phullwanti | Prajaktta Mali, Gashmeer Mahajani | Vaishali Made, Avinash Vishwajeet",3,songs/song_35_mfcc.csv
Tumhi Yetana Kela Eshara - Full Video | Farzand | Mrunmayee Deshpande | Vaishali Samant,3,songs/song_36_mfcc.csv
Mi Chhattis Nakharewali - Makrand Anaspure - Gadhavache Lagna (Lavani),3,songs/song_37_mfcc.csv
"Lavani - Full Song | Zapatlela 2 | Adinath Kothare, Sonalee Kulkarni",3,songs/song_38_mfcc.csv
Indra Darbari Nache Sundari - Sonalee Kulkarni - Gadhavache Lagna,3,songs/song_39_mfcc.csv
Reshamachya Reghanni  Lal Kalya Dhagyani - Asha Bhosale,3,songs/song_40_mfcc.csv
Jana Gana Mana All Vocals,4,songs/song_41_mfcc.csv
Jana Gana Mana (HD) - National Anthem With Lyrics - Best Patriotic Song,4,songs/song_42_mfcc.csv
"जन गण मन I Jan Gan Man I MAHENDRA KAPOOR I राष्ट्र गान, राष्ट्रीय गीत, Independence Day Special 2018",4,songs/song_43_mfcc.csv
Jana Gana Mana | National Anthem | Independence Day Special | Full Song | Bapu  | WowKidz,4,songs/song_44_mfcc.csv
Jana Gana Mana All India Muslim league national anthem Original version,4,songs/song_45_mfcc.csv
JANA GANA MANA 🇮🇳 Indian National Anthem LYRICAL 🇮🇳Independence Day Special 🇮🇳 Suprabha KV,4,songs/song_46_mfcc.csv
Indian National Anthem | Jana Gana Mana | Vocals and Lyrics,4,songs/song_47_mfcc.csv
Indian National Anthem | Instrumental,4,songs/song_48_mfcc.csv
Jana Gana Mana 52 seconds  (National Anthem of India),4,songs/song_49_mfcc.csv
National Anthem by Symphony Orchestra of India,4,songs/song_50_mfcc.csv
Jeevanat hee ghadi - Kamapurta Mama,5,songs/song_51_mfcc.csv
"Dev Jari Maj Kadhi Bhetala - Asha Bhosle, Molkarin, Song 1",5,songs/song_52_mfcc.csv
Kokil Kuhu Kuhu Bole - Lata Mangeshkar | Kanyadaan | Marathi Movie Romantic Song,5,songs/song_53_mfcc.csv
"Dhund Ekant Ha - Anolkhi Marathi Movie | Juni Marathi Gani | Asha Bhosle, Sudhir Phadke",5,songs/song_54_mfcc.csv
"Pratham Tuzh Pahata - Arun Sarnaik, Ramdas Kamat, Mumbaicha Jawai Song",5,songs/song_55_mfcc.csv
CHANDANYAT PHIRTANA ASHA BHOSALE ORIGINAL,5,songs/song_56_mfcc.csv
काटा रुते कुणाला - Kata Rute Kunala - Pt. Jitendra Abhisheki,5,songs/song_57_mfcc.csv
Mendichya Panavar,5,songs/song_58_mfcc.csv
Vadal Vara Sutala Ga,5,songs/song_59_mfcc.csv
Man Mandira - Shivam Mahadevan | Katyar Kaljat Ghusli | Shankar Mahadevan & Sachin Pilgaonkar,5,songs/song_60_mfcc.csv
